code,name,description
ASTR_V 205,Stars and Stellar Populations,"Measurement of positions, motions, and distances in astronomy. Temperature, masses, and spectra of stars. Hertzsprung-Russell diagram. Quantitative stellar structure and evolution. Chemical composition of stars in different Galactic populations. Globular and open star clusters. [3-0-0] Prerequisite: ASTR 200 and one of PHYS 210, EOSC 211, CPSC 302, CPSC 303."
ASTR_V 300,Galaxies,"Structure and kinematics of our galaxy. Spiral arms and dynamics of stars in spiral and elliptical galaxies. Galactic formation, evolution, dynamics, and groups. Active galaxies and quasars. [3-0-0]. Prerequisite: ASTR_V 205 and one of PHYS_V 210, EOSC_V 211, CPSC_V 302, CPSC_V 303. Corequisite: One of MATH_V 217, MATH_V 227, MATH_V 317.This course is not eligible for Credit/D/Fail grading."
ASTR_V 310,Exploring the Universe: The Solar System,"A survey of recent discoveries about the planets and other objects in the solar system, without the use of advanced mathematics. The Sun, the existence of planetary systems around other stars, and the search for life. Not open to first year students and not for credit for students in Physics & Astronomy specializations. [3-0-1*]"
ASTR_V 311,Exploring the Universe: Stars and Galaxies,"A survey of recent discoveries in modern astronomy without the use of advanced mathematics. Stars, pulsars, black holes, galaxies, quasars and the origin and evolution of the Universe. Not open to first year students and not for credit for students in Physics & Astronomy specializations. [3-0-1*]"
ASTR_V 333,Exoplanets and Astrobiology,"Observations and basic characteristics of extrasolar planets, including their formation, evolution, and potential for supporting life. [3-0-0] Prerequisite: One of PHYS 101, PHYS 102, PHYS 106, PHYS 107, PHYS 108, PHYS 117, PHYS 118, PHYS 131, PHYS 153, PHYS 157, PHYS 158, SCIE 001 and one of MATH 200, MATH 217, MATH 253, STAT 200, STAT 203, STAT 241, BIOL 300, COMM 291, ECON 325, EPSE 482, EPSE 483, FRST 231, GEOG 374, KIN 371, POLI 380, PSYC 217, PSYC 218, PSYC 277, PSYC 278, PSYC 366, SOCI 328."
ASTR_V 349,Directed Research Project in Astronomy,"A research project, undertaken under the direction of a faculty member, culminating in a written report. Requires approval of the course instructor and program advisor in the Department of Physics and Astronomy. [1*-6-0]"
ASTR_V 403,Cosmology,"Introduction to the study of the Universe as a whole. Foundations of the Hot Big Bang model, the early Universe, nucleosynthesis, the cosmic microwave background, large-scale structure, galaxy formation and quasars. Credit will be granted for only one of ASTR 403 or PHYS 571. [3-0-0] Prerequisite: One of PHYS 200, PHYS 250. ASTR 300 is recommended."
ASTR_V 404,Astronomical and Astrophysical Measurements,"Astronomical instrumentation and techniques for ground and space-based observations. Theory of measurement, imaging, interferometry and spectroscopy of electromagnetic radiation at optical, radio, infrared, and X-ray wavelengths. Astronomical data analysis. [3-0-0] Prerequisite: All of PHYS 210, PHYS 408 and one of PHYS 312, MATH 316."
ASTR_V 405,Astronomical Laboratory,"Experiments in the use of astronomical instrumentation and data analysis. Use of the 40-cm reflector, spectrograph and electronic detectors. Photometric and spectroscopic analysis of digital data. [0-0-3] Prerequisite: [ASTR404]"
ASTR_V 406,High-Energy Astrophysics,"Radiative processes. White dwarfs, neutron stars, and black holes. Accreting systems. Gamma-ray bursts. [3-0-0] Prerequisite: All of PHYS 203, PHYS 301, MATH 215 and ASTR 300."
ASTR_V 407,Planetary Science,"Structure of planetary systems, planetary interiors, planet formation, planetary atmospheres, meteoritics, impact cratering. [3-0-0] Prerequisite: One of PHYS 210, EOSC 211 and one of MATH 217, MATH 227, MATH 317 and one of MATH 316, PHYS 312 and one of ASTR 200, EOSC 212. Corequisite: One of PHYS 206, PHYS 216, PHYS 306, EOSC 352."
ASTR_V 449,Honours Thesis in Astronomy,"A research project in astronomy, undertaken under the direction of a faculty member, culminating in a thesis. [1*-6-0]"
ASTR_V 500,Principles of Modern Astronomy,"An introduction to the physical processes occurring in the stars, the interstellar medium, and in our own and other galaxies (fourth-year Honours students in the Physics and Astronomy Department may elect this course with special permission of the Department Head).This course is not eligible for Credit/D/Fail grading."
ASTR_V 502,Astronomical Dynamics,This course is not eligible for Credit/D/Fail grading.
ASTR_V 505,Galactic Astronomy,"The study of the structure, content and evolution of our own and other galaxies, including the study of the physical processes occurring in the interstellar medium and galactic nuclei.This course is not eligible for Credit/D/Fail grading."
ASTR_V 506,High-Energy Astrophysics,This course is not eligible for Credit/D/Fail grading.
ASTR_V 507,Planetary Sciences,This course is not eligible for Credit/D/Fail grading.
ASTR_V 508,Stellar Astronomy,This course is not eligible for Credit/D/Fail grading.
ASTR_V 509,Astronomical Statistics,This course is not eligible for Credit/D/Fail grading.
ASTR_V 514,Observational Astronomy,This course is not eligible for Credit/D/Fail grading.
ASTR_V 520,Astronomy/Astrophysics Research Seminar,This course is not eligible for Credit/D/Fail grading.
ASTR_V 530,Directed Studies in Astronomy,This course is not eligible for Credit/D/Fail grading.
ASTR_V 536,Studies of the Interstellar Medium,This course is not eligible for Credit/D/Fail grading.
ASTR_V 549,M.Sc. Thesis,This course is not eligible for Credit/D/Fail grading.
ASTR_V 649,Doctoral Dissertation,This course is not eligible for Credit/D/Fail grading.
ATSC_V 113,"Weather Science for Sailing, Flying, and Snow Sports","Atmospheric-science principles elucidated by case studies applied to sailing, soaring, flying and snow sports. [3-0-0]"
ATSC_V 201,Meteorology of Storms,"Characteristics and physical processes of thunderstorms, tornadoes, lightning, hail, hurricanes, blizzards, cyclones and other storms. Recommended pre-requisite: completion of first-year science. [3-0-0]"
ATSC_V 212,Earth and Atmospheric Science Introductory Computing Laboratory,"Computing tools, including Unix/Linux, Web page creation, programming languages used for numerical calculation, database programs. Recommended pre-requisites: one of CPSC 103, CPSC 110. [0-2]"
ATSC_V 301,Atmospheric Radiation and Remote Sensing,"Energy transfer at infrared, visible, and microwave wavelengths. Analysis of satellite measurements of the atmosphere and surface. [3-0-0] Prerequisite: One of PHYS 102, PHYS 108, PHYS 118, PHYS 158. and familiarity with a programming language."
ATSC_V 303,Methods in Atmospheric Science,"An introduction to instrumentation used in monitoring the state of the atmosphere; a brief survey of methods of analysis of meteorological data. [2-2-0] Prerequisite: One of EOSC 211, CPSC 103, CPSC 110 and one of ATSC 201, GEOB 200, GEOS 200."
ATSC_V 313,Renewable Energy Meteorology,"The meteorology of hydro, wind, and solar power. Atmospheric processes affecting renewable energy on global, regional & local weather scales. [3-0-0] Prerequisite: One of MATH 101, MATH 103, MATH 105, MATH 121 and one of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 157 and one of APSC 160, CPSC 103, CPSC 110, DSCI 100, EOSC 211."
ATSC_V 398,Co-operative Work Placement I,"Approved and supervised technical work experience in an industrial, university or government setting for a minimum of 14 weeks. Normally taken in the Winter Session (Term 2) in third year. Technical report required. Restricted to students admitted to Co-operative Education Program in Atmospheric Science. Prerequisite: ATSC_V 201 and one of GEOB_V 300, GEOS_V 300.This course is not eligible for Credit/D/Fail grading."
ATSC_V 399,Co-operative Work Placement II,"Approved and supervised technical work experience in an industrial, university or government setting for a minimum of 14 weeks. Normally taken in the Summer Session (Terms 1 and 2) following third year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Atmospheric Science. Prerequisite: ATSC_V 398.This course is not eligible for Credit/D/Fail grading."
ATSC_V 404,Dynamic Meteorology,"Dynamic principles governing atmospheric motions on a rotating planet. Simplified mathematical models of atmospheric flow based on scale analysis. Application to synoptic-scale and general circulation of the troposphere. [3-0-0] Prerequisite: One of EOSC 352, MATH 316, PHYS 312 and one of EOSC 250, MATH 217, MATH 317."
ATSC_V 405,Cloud Physics and Chemistry,"Cloud thermodynamics, chemistry and microphysics. Computer modelling of droplet growth, convection, and mixing. Application of differential equations to atmospheric problems. [3-0-0] Prerequisite: MATH 215. Familiarity with a programming language is required. Corequisite: One of PHYS 203, CHEM 304."
ATSC_V 409,"Numerical Techniques for Ocean, Atmosphere and Earth Scientists","Web-based introduction to the practical numerical solution of ordinary and partial differential equations including considerations of stability and accuracy. Credit will be granted for only one of ATSC 409 or ATSC 506/EOSC 511. [0-0-3] Prerequisite: One of MATH 215, MATH 255, MATH 256, MATH 265. Familiarity with a programming language is required."
ATSC_V 413,Forest-fire Weather and Climate,"Synoptic and mesoscale meteorology and weather forecasting applied to wildfires. Effect of weather on fire behaviour, danger, smoke, climate and sustainability at the urban-forest interface. [2-2-0] Prerequisite: One of ATSC 201, GEOS 200."
ATSC_V 448,Directed Studies,Investigation of a topic to be agreed upon by a member of the faculty and the student. Permission of the undergraduate advisor and of the supervising faculty member is required before registration.
ATSC_V 449,Honours Project,Honours students must submit a graduating report based on a project undertaken with the approval of the Associate Chair of the Atmospheric Science Program.
ATSC_V 490,Student Directed Seminars in Atmospheric Science,"Self-directed, collaborative studies in atmospheric science, in a group-learning environment, initiated and coordinated by senior undergraduate students with the supervision of a faculty advisor. Course structure, enrolment, and delivery methods will comply with the Handbook for Student Directed Seminars. Prerequisite: Third-year standing.This course is not eligible for Credit/D/Fail grading."
ATSC_V 498,Co-operative Work Placement III,"Approved and supervised technical work experience in an industrial, university or government setting for a minimum of 14 weeks. Normally taken in the Summer Session (Terms 1 and 2) after fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Atmospheric Science. Prerequisite: ATSC_V 399 and one of ATSC_V 303, GEOB_V 304, GEOS_V 304.This course is not eligible for Credit/D/Fail grading."
ATSC_V 499,Co-operative Work Placement IV,"Approved and supervised technical work experience in an industrial, university or government setting for a minimum of 14 weeks. Normally taken in Winter Session (Term 1) of the fifth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Atmospheric Science. Prerequisite: ATSC_V 498.This course is not eligible for Credit/D/Fail grading."
ATSC_V 500,Boundary-Layer Meteorology,Theoretical and empirical analysis of the atmospheric boundary layer with particular emphasis on energy and mass exchanges near the Earth's surface.This course is not eligible for Credit/D/Fail grading.
ATSC_V 506,"Numerical Techniques for Ocean, Atmosphere and Earth Scientists",Credit will be granted for only one of ATSC_V 409 or ATSC_V 506/EOSC_V 511. Equivalency: EOSC_V 511.This course is not eligible for Credit/D/Fail grading.
ATSC_V 507,Numerical Weather Prediction,"Prerequisite: All of a fluid-dynamics course, a numerical-methods course, as well as computer-programming skills.This course is not eligible for Credit/D/Fail grading."
ATSC_V 548,Master's Graduation Essay,This course is not eligible for Credit/D/Fail grading.
ATSC_V 595,Directed Studies,This course is not eligible for Credit/D/Fail grading.
ATSC_V 597,Co-operative Work Placement I,Restricted to students admitted to the M.Sc. Co-operative Education Option in Atmospheric Science.This course is not eligible for Credit/D/Fail grading.
ATSC_V 598,Co-operative Work Placement II,Restricted to students admitted to the M.Sc. Co-operative Education Option in Atmospheric Science. Prerequisite: ATSC_V 597.This course is not eligible for Credit/D/Fail grading.
ATSC_V 599,Master's Thesis,This course is not eligible for Credit/D/Fail grading.
ATSC_V 699,Doctoral Dissertation,This course is not eligible for Credit/D/Fail grading.
BIOF_V 501,Special Topics in Bioinformatics,This course is not eligible for Credit/D/Fail grading.
BIOF_V 520,Problem-Based Learning In Bioinformatics,Develops the student's ability to exchange ideas in small groups focused on real but simplified problems in bioinformatics. Problems are carefully selected to cover all aspects of Bioinformatics research. Required of students in the Bioinformatics graduate program. Students not registered in the Bioinformatics graduate program must get permission to register in this course.This course is not eligible for Credit/D/Fail grading.
BIOF_V 540,Statistical Methods for High Dimensional Biology,"Equivalency: STAT_V 540, GSAT_V 540.This course is not eligible for Credit/D/Fail grading."
BIOF_V 548,Directed Studies,Advanced study under the direction of a faculty member composed of laboratory sessions and directed readings related to selected areas of bioinformatics. Students must get permission to register in this course.This course is not eligible for Credit/D/Fail grading.
BIOF_V 599,M.Sc. Thesis,This course is not eligible for Credit/D/Fail grading.
BIOF_V 699,Doctoral Dissertation,This course is not eligible for Credit/D/Fail grading.
BIOL_V 111,Introduction to Modern Biology,"Concepts fundamental to biological issues, such as the genetic basis of biological variation, evolution, infectious diseases, causes of cancer, population growth, and human effects on ecosystems. Not open to students who have credit for Biology 12 (including AP, IB). [3-0-0]"
BIOL_V 112,Biology of the Cell,"The principles of cellular and molecular biology using bacterial and eukaryotic examples. [3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111."
BIOL_V 121,"Genetics, Evolution and Ecology","Principles of storage and transmission of genetic variation; origin and evolution of species and their ecological interactions. Credit will be granted for only one of BIOL 121 or BIOL 344. [3-0-0] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111."
BIOL_V 140,Laboratory Investigations in Life Science,"Guided experimental investigations of biological questions. [1-2-0] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111."
BIOL_V 153,Human Biology: Anatomy and Physiology,"The principles of biology with particular reference to the human body (anatomy and physiology). Laboratories include selected experiments on organ physiology and general anatomy. Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. [3-3-0; 3-3-0]. Prerequisite: One of CHEM 12, CHEM_V 100, CHEM_V 110, CHEM_V 111 and one of BIOL 11, BIOL_V 12, BIOL_V 111.This course is not eligible for Credit/D/Fail grading."
BIOL_V 155,Human Biology: Physiology and Introductory Anatomy,"The principles of biology with particular reference to the human body (anatomy and physiology). (physiology and introductory anatomy). Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…[3-0-0; 3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111."
BIOL_V 180,Thinking Like a Life Scientist,"Science as a process, the skills of scientists, and the exploration of a current biological challenge with a practicing UBC scientist. [2-0-1] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111."
BIOL_V 200,Fundamentals of Cell Biology,"Structure and function of plant and animal cells; membrane models, cytoplasmic organelles, biological information from gene to protein, the endomembrane system, secretion, intracellular digestion, endocytosis, transport processes, cytoskeleton and cell motility. [3-0-1] Prerequisite: Either (a) BIOL_V 112 and one of CHEM_V 123, CHEM_V 130 or (b) SCIE_V 001 or (c) 8 transfer credits of first-year BIOL_V and 6 credits of first-year CHEM_V or (d) one of BIOL_V 112 or BIOL_V 121 and a corequisite of one of CHEM_V 203, CHEM_V 223, CHEM_O 203."
BIOL_V 201,Introduction to Biochemistry,"Biological molecules, protein structure and enzyme action, energy transfer, central metabolic pathways and their regulation. Examples drawn from plants, animals and microorganisms. (Consult the Credit Exclusion list within the Faculty of Science section of the Calendar.) Credit will be granted for only one of BIOL_V 201, BIOC_V 202, or BIOC_V 203. [3-0-1] Prerequisite: BIOL_V 200 or BIOL_O 200 and one of CHEM_V 233, CHEM_V 260, CHEM_O 213; or BIOL_V 200 or BIOL_O 200 and a corequisite of CHEM_V 213 or CHEM_O 204; or a corequisite of either CHEM_V 313 or CHEM_V 330."
BIOL_V 203,Eukaryotic Microbiology,"Introduction to the origin and diversity of protists (protozoa and algae) at both cellular and genomic levels, including the role of endosymbiosis in evolution. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology."
BIOL_V 204,Vertebrate Structure and Function,"Introduction to the vertebrate phyla and their evolution; a comparative study of vertebrate structure and function, with dissection of representative forms. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology."
BIOL_V 205,Comparative Invertebrate Zoology,"An introduction to the unity, diversity and evolutionary history of invertebrates. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology."
BIOL_V 209,"Biodiversity of Algae, Fungi and Bryophytes","Diversity, ecology, cell biology and evolutionary origins of multicellular eukaryotes, illustrated through mosses and liverworts; fungi and slime molds; and fresh water and marine algae. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology."
BIOL_V 210,Vascular Plants,"A comparative study of pteridophytes, gymnosperms and angiosperms, integrating form, function and ecology. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. or 8 transfer credits of first-year biology. Equivalency: APBI 210"
BIOL_V 230,Fundamentals of Ecology,"Dynamics of plant and animal populations, structure of ecological communities and functioning of ecosystems. Interpretation of research results and application to environmental issues. Labs meet once a month. Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. [3-3*-0] Prerequisite: One of BIOL 121, SCIE 001 or 8 transfer credits of first-year BIOL."
BIOL_V 233,Genetics for Life,"How genetic differences determine individual characteristics, and how they are inherited, analyzed, and modified. Emphasis on genetic diversity, human ancestry, personal genomics, and cancer genetics. [3-0-2] Prerequisite: Either (a) all of BIOL 112, BIOL 121 or (b) SCIE 001. ; or (c) a corequisite of one of CHEM 203 or CHEM 223 and one of BIOL 112 or BIOL 121."
BIOL_V 234,Fundamentals of Genetics,"Genotype and phenotype, mechanisms of inheritance, genetic analysis. Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. [3-0-2] Prerequisite: Either (a) all of BIOL_V 112, BIOL_V 121 or (b) SCIE_V 001 or (c) a corequisite of one of CHEM_V 203 or CHEM_V 223 or CHEM_O 203 and one of BIOL_V 112 or BIOL_V 121 or (d) 8 transfer credits of first-year BIOL_V."
BIOL_V 260,Fundamentals of Physiology,"Principles of cellular and organismal physiology illustrated with examples from unicellular organisms, plants and animals, focusing on transport processes, water balance, nutrient acquisition and communication. [3-0-0] Prerequisite: Either (a) all of BIOL 112, BIOL 121 or (b) SCIE 001. or (c) 8 transfer credits of 1st year BIOL and 6 credits of 1st year chemistry."
BIOL_V 300,Fundamentals of Biostatistics,"Statistical procedures for biological research; estimation, hypothesis testing, goodness of fit, analysis of variance and regression; use of computers for statistical analysis. Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…[3-2-0] Prerequisite: One of BIOL_V 121, SCIE_V 001. Corequisite: One of MATH_V 100, MATH_V 110, MATH_V 180, SCIE_V 001."
BIOL_V 301,Biomathematics,"Introduction to uses of mathematics in the biological sciences; experimental design and modelling of biological processes. Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. Recommended co-requisites: one of BIOL 300, STAT 200. [3-0-2]"
BIOL_V 302,"Biodiversity, Human & Planetary Health","Effects of biodiversity on human health, from human microbiome to ecosystem. Strategies for protecting, restoring and managing for biodiversity, human and planetary health. [3-0-1] Prerequisite: One of BIOL 111, BIOL 121, GEOS 207, SCIE 001 and third-year class standing."
BIOL_V 303,Green Planet: Biology and History of Plants that Changed Civilizations,"Biological, cultural, and societal significance of staple crops selected as foods, medicines or raw materials by different societies, and their pivotal role in the rise and fall of past and present civilizations. [3-0-1] Prerequisite: 3rd-year class standing or higher."
BIOL_V 306,Advanced Ecology,"Ecology of populations, communities and ecosystems. Tests of ecological theory with experiments and application to environmental issues. Labs meet once a month. Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. [3-3*-0] Prerequisite: BIOL 230."
BIOL_V 307,Natural History Collections and Biodiversity Science,"An introduction to biodiversity and specimen-based science, including theory and best practices for creating, curating and preserving natural history collections, working ethically with collections, and the historical, contemporary and future role of these collections to science and society. [2-3-0] Pre-requisites: A minimum of 3rd-year class standing or higher."
BIOL_V 310,Introduction to Animal Behaviour,Animal behavior from an ecological and evolutionary perspective; the methods used to study behaviour and test its adaptive significance. [3-0-2] Prerequisite: BIOL_V 121 or SCIE_V 001; and 3rd-year class standing or higher.
BIOL_V 311,Experimental Methods in Animal Behaviour,"Designing, conducting, and analyzing studies of animal behaviour, with an emphasis on field-based methods. Students conduct capstone research projects. Please consult the Faculty of Science Credit Exclusion Lists:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. [1-4-0] Prerequisite: One of BIOL 300, STAT 200. Corequisite: BIOL 310."
BIOL_V 314,Elements of Biodiversity,"The units of biodiversity, from genes to ecosystems, how they are structured in space, and their importance to human well-being and ecosystem health. [3-0-0] Prerequisite: One of APBI 260, BIOL 230, FRST 201, GEOB 207, GEOS 207. Equivalency: CONS 314"
BIOL_V 317,Weed Science,"Importance, identification, dissemination and biology of weeds; preventative, cultural, biological and chemical methods of control. [3-2-0] Equivalency: APBI328"
BIOL_V 320,Survey of Algae,"A survey of the algae, considering their morphology, life history, classification, and ecology. [3-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001."
BIOL_V 321,Morphology and Evolution of Bryophytes,"A study of evolution, taxonomy and morphology of mosses, liverworts and hornworts with emphasis on living plants in their environment. [2-4-0] Prerequisite: BIOL_V 121 or SCIE_V 001."
BIOL_V 322,Structure and Evolution of Ferns and Fern-allies,"Anatomy, morphology and relationships of the ferns and fern-allies, with assessment of both fossil and extant taxa. [2-4-0] Prerequisite: BIOL_V 121 or SCIE_V 001."
BIOL_V 323,Structure and Reproduction of Fungi,The evolutionary diversity of the fungi as shown by their morphology and reproductive biology. [2-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001.
BIOL_V 324,Introduction to Seed Plant Taxonomy,Introduction to seed plant taxonomy emphasizing descriptive morphology and identification. Each student will be required to submit a plant collection. [2-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001. Equivalency: APBI_V 324
BIOL_V 325,Introduction to Animal Mechanics and Locomotion,"Comparative aspects of the functional design of skeletal systems and the mechanics of swimming, flying and terrestrial locomotion, with particular reference to the vertebrates. [3-0-0] Prerequisite: BIOL_V 121 or SCIE_V 001."
BIOL_V 326,Experimental Biology of Invertebrates,Behaviour and ecology of invertebrates as revealed by hands-on experiments in the laboratory and field. Marine emphasis. [1-4-0] Prerequisite: BIOL 205. Corequisite: Either (a) STAT 200 or (b) BIOL 300.
BIOL_V 327,Introduction to Entomology,"A survey of the structure, classification and biology of insects; ecology, life-histories and insect-plant relations. Prerequisite: BIOL_V 121 or SCIE_V 001. Equivalency: APBI_V 327"
BIOL_V 328,Ecology and Evolution of Parasites,"Morphology, life histories, ecology and evolution of parasites (and infectious agents more broadly) infecting humans and animals. [2-3-0] Prerequisite: BIOL_V 121 or SCIE_V 001"
BIOL_V 329,"Cell Receptor Signaling, Communication and Regulation","How cells react to external signals, and how these responses are regulated. Experimental approaches and common themes will be examined using a variety of cell receptors as models. [3-0-0]. Prerequisite: BIOL_V 200.This course is not eligible for Credit/D/Fail grading."
BIOL_V 330,Developmental Biology (Lecture),"Animal development and its underlying causal principles; introductory embryology. [3-0-0] Prerequisite: Either (a) BIOL 201 or (b) all of BIOL 200, BIOL 260 and one of BIOL 233, BIOL 234."
BIOL_V 331,Developmental Biology,"Animal development and its underlying causal principles; introductory embryology. [3-5-0] Prerequisite: Either (a) BIOL 201 or (b) all of BIOL 200, BIOL 260 and one of BIOL 233, BIOL 234."
BIOL_V 332,Protistology,"Cell biology, ecology, and evolution of protists; origins of multicellularity; the role of protists in micropaleontology, parasitology, and oceanography. [3-3-0] Prerequisite: BIOL 200"
BIOL_V 335,Molecular Genetics,"Isolation and identification of genes, analysis of gene structure; gene expression and its regulation in prokaryotes and in eukaryotes; developmental genetics. [3-0-2] Prerequisite: One of BIOL 233, BIOL 234, MICB 322, FRST 302."
BIOL_V 336,Fundamentals of Evolutionary Biology,"Natural selection; population genetics, quantitative genetics and systematics; classical and molecular approaches to the study of evolution. [3-0-2] Prerequisite: One of BIOL 233, BIOL 234."
BIOL_V 337,Introductory Genetics Laboratory,"A laboratory course demonstrating the fundamental principles of inheritance: Mendel's Laws, sex-linkage, mapping, mutagenesis, chromosome structure, developmental biology, biochemical and population genetics. [1-4-0] Prerequisite: BIOL 200. Corequisite: One of BIOL 233, BIOL 234."
BIOL_V 338,Introduction to Genomics,"An introduction to genome biology and applications of genomics. [3-0-1.5] Prerequisite: One of BIOL 234, BIOL 233, FRST 302."
BIOL_V 340,Introductory Cell Biology Laboratory,"Designing and conducting cell biology experiments using unicellular eukaryotes or prokaryotes with emphasis on techniques in microscopy and cell biology. [1-6-0] Prerequisite: BIOL_V 200 and 3rd-year class standing or higher in Science and one of (a) BIOL_V 180 (or BIOL_V 140), or (b) SCIE_V 001, or (c) 3rd-year class standing in Combined Honours Biophysics."
BIOL_V 341,Introductory Molecular Biology Laboratory,Designing and conducting molecular biology experiments using bioinformatics recombinant DNA techniques. [1-5-0] Prerequisite: BIOL_V 200 and 3rd-year class standing or higher in Science.
BIOL_V 342,Integrative Biology Laboratory,"Field-based and laboratory-based investigation of organisms. [1-3-0] Prerequisite: Third-year standing or higher in Combined Major in Science, and one of (a) BIOL 121 and BIOL 180 (or BIOL 140), or (b) SCIE 001, or (c) 8 transfer credits of first-year biology."
